Query,Clicks,Conversions,Avg_Position,Quality_Score,Avg_CPC,Spend,Revenue_Per_Conversion,Revenue,CPA,ROAS,CVR
for small business corporate travel card,176,25,5.03,10,15.13,2662.88,4699,117475,106.51520000000001,44.1157693925374,0.14204545454545456
instant approval expense management card,396,19,2.94,2,20.32,8046.72,3648,69312,423.51157894736843,8.613696015270818,0.047979797979797977
low fee corporate expense card,377,4,6.59,2,21.9,8256.3,2444,9776,2064.075,1.1840655014958275,0.010610079575596816
instant approval amex rewards card,451,26,5.1,1,46.09,20786.59,7831,203606,799.4842307692307,9.795064991419949,0.057649667405764965
for travel american express business card,77,6,7.95,10,16.58,1276.6599999999999,6458,38748,212.77666666666664,30.351072329359425,0.07792207792207792
for freelancers amex rewards card,39,2,5.65,8,37.5,1462.5,6758,13516,731.25,9.241709401709402,0.05128205128205128
best small business credit card,76,1,8.98,3,31.47,2391.72,5981,5981,2391.72,2.5007107855434585,0.013157894736842105
for employees expense tracking software,77,6,8.05,8,12.73,980.21,9954,59724,163.36833333333334,60.92980075698065,0.07792207792207792
instant approval business financing,195,7,2.31,5,17.07,3328.65,3673,25711,475.5214285714286,7.7241524341700085,0.035897435897435895
with rewards startup loan,86,9,2.22,3,17.78,1529.0800000000002,6732,60588,169.8977777777778,39.623826091506,0.10465116279069768
cheap corporate expense card,190,4,1.22,6,13.06,2481.4,6818,27272,620.35,10.990569839606673,0.021052631578947368
best expense tracking software,23,3,4.32,2,40.3,926.9,9806,29418,308.96666666666664,31.738051569748624,0.13043478260869565
instant approval small business loan,147,19,1.49,1,19.1,2807.7000000000003,1142,21698,147.77368421052634,7.728033621825693,0.1292517006802721
cheap amex corporate card,471,62,5.05,9,29.02,13668.42,8351,517762,220.4583870967742,37.880164642292236,0.1316348195329087
for small business small business credit card,474,57,3.17,3,38.16,18087.84,1590,90630,317.3305263157895,5.010548523206751,0.12025316455696203
instant approval american express business card,287,28,5.48,7,48.59,13945.330000000002,2595,72660,498.04750000000007,5.210346402702553,0.0975609756097561
best cash rewards card,200,3,2.42,9,45.96,9192.0,9466,28398,3064.0,3.089425587467363,0.015
apply for expense tracking software,70,7,5.94,4,14.54,1017.8,1668,11676,145.4,11.471801925722147,0.1
with cashback business travel credit card,183,20,9.7,9,45.23,8277.09,7845,156900,413.85450000000003,18.955937412786376,0.1092896174863388
for employees amex rewards card,302,8,6.74,4,43.08,13010.16,2784,22272,1626.27,1.7118928591193345,0.026490066225165563
high limit travel rewards card,286,27,6.08,2,6.35,1816.1,7880,212760,67.26296296296296,117.1521391993833,0.0944055944055944
with airport lounge access cashback credit card,482,37,8.09,6,44.81,21598.420000000002,1893,70041,583.7410810810811,3.242876099270224,0.07676348547717843
for freelancers travel rewards card,396,30,1.05,9,29.05,11503.800000000001,7994,239820,383.46000000000004,20.84702446148229,0.07575757575757576
instant approval corporate credit card,412,15,3.54,3,13.62,5611.44,1291,19365,374.09599999999995,3.450985843206022,0.03640776699029126
for travel employee expense card,297,33,9.88,2,49.79,14787.63,8727,287991,448.10999999999996,19.475128874606682,0.1111111111111111
instant approval working capital loan,216,30,8.04,5,19.03,4110.4800000000005,3502,105060,137.01600000000002,25.559058796053012,0.1388888888888889
2026 amex corporate card,498,59,1.81,7,13.44,6693.12,5449,321491,113.44271186440677,48.03305483840123,0.11847389558232932
with airport lounge access corporate credit card,263,16,3.94,6,12.79,3363.77,5793,92688,210.235625,27.554797147248475,0.060836501901140684
with airport lounge access employee expense card,289,42,4.96,4,28.68,8288.52,8643,363006,197.3457142857143,43.796238652980264,0.1453287197231834
2026 hotel rewards card,466,28,9.41,9,12.87,5997.42,1294,36232,214.19357142857143,6.041264410363123,0.060085836909871244
with rewards small business loan,339,14,6.28,1,28.39,9624.210000000001,5717,80038,687.4435714285715,8.3163189498151,0.04129793510324484
apply for corporate credit card,441,64,1.7,10,38.17,16832.97,5437,347968,263.01515625,20.671812520309842,0.14512471655328799
top business credit card,361,43,5.58,1,47.69,17216.09,3472,149296,400.3741860465116,8.671887751516168,0.11911357340720222
premium business financing,323,37,3.6,7,21.54,6957.42,4889,180893,188.03837837837838,26.000011498515253,0.11455108359133127
low fee corporate travel card,433,9,4.05,5,48.92,21182.36,5839,52551,2353.5955555555556,2.4808850383054577,0.020785219399538105
cheap cashback credit card,144,5,2.03,4,49.5,7128.0,3484,17420,1425.6,2.4438832772166106,0.034722222222222224
high limit business financing,55,0,5.13,5,31.46,1730.3,2470,0,1730.3,0.0,0.0
for small business airline rewards card,379,44,7.03,3,18.61,7053.19,5924,260656,160.2997727272727,36.95576044314701,0.11609498680738786
top airline rewards card,484,23,7.84,1,43.39,21000.760000000002,9648,221904,913.0765217391305,10.566474737104752,0.047520661157024795
compare amex rewards card,135,3,7.26,9,7.4,999.0,3851,11553,333.0,11.564564564564565,0.022222222222222223
for small business corporate credit card,408,14,6.94,5,24.83,10130.64,9588,134232,723.6171428571428,13.25010068465566,0.03431372549019608
best startup loan,222,22,8.82,10,33.52,7441.4400000000005,6549,144078,338.24727272727273,19.36157517899761,0.0990990990990991
for employees amex rewards card,83,5,3.99,6,49.16,4080.2799999999997,4446,22230,816.0559999999999,5.44815551873891,0.060240963855421686
for freelancers hotel rewards card,96,13,2.93,8,36.29,3483.84,8776,114088,267.9876923076923,32.74777257279324,0.13541666666666666
compare cashback credit card,14,0,1.8,10,15.4,215.6,3649,0,215.6,0.0,0.0
cheap small business loan,250,31,2.49,6,43.41,10852.5,8680,269080,350.0806451612903,24.794287030638102,0.124
apply for spend management platform,196,16,2.34,10,34.6,6781.6,4771,76336,423.85,11.256340686563643,0.08163265306122448
low fee business financing,259,28,9.21,3,43.9,11370.1,6633,185724,406.075,16.33442098134581,0.10810810810810811
for small business merchant cash advance,207,6,2.62,8,36.31,7516.17,9483,56898,1252.695,7.570078909870319,0.028985507246376812
for startups cashback credit card,31,3,1.85,2,20.64,639.84,6597,19791,213.28,30.931170292573142,0.0967741935483871
for freelancers travel rewards card,37,0,4.6,7,10.25,379.25,9783,0,379.25,0.0,0.0
for startups american express travel card,447,47,2.53,6,36.13,16150.11,6768,318096,343.61936170212766,19.696212595456007,0.10514541387024609
2026 employee expense card,28,2,2.18,2,14.14,395.92,9974,19948,197.96,50.38391594261467,0.07142857142857142
premium startup loan,122,5,4.26,4,7.94,968.6800000000001,6286,31430,193.73600000000002,32.44621546847256,0.040983606557377046
instant approval cash rewards card,23,1,9.27,3,18.17,417.91,5150,5150,417.91,12.323227489172309,0.043478260869565216
cheap employee expense card,185,24,1.27,1,19.27,3564.95,5686,136464,148.53958333333333,38.27935875678481,0.12972972972972974
compare cashback credit card,400,12,2.87,3,49.66,19864.0,1259,15108,1655.3333333333333,0.7605718888441402,0.03
for employees amex corporate card,216,7,8.42,7,30.36,6557.76,7888,55216,936.8228571428572,8.419948275020738,0.032407407407407406
compare business cashback card,425,36,3.21,6,49.55,21058.75,4567,164412,584.9652777777778,7.807301003145961,0.08470588235294117
best amex rewards card,159,15,4.97,3,39.76,6321.839999999999,1991,29865,421.45599999999996,4.724099312858282,0.09433962264150944
cheap small business loan,311,21,1.89,2,27.25,8474.75,2045,42945,403.5595238095238,5.067406118174578,0.06752411575562701
for startups business financing,350,16,8.16,6,17.79,6226.5,9384,150144,389.15625,24.113707540351722,0.045714285714285714
with airport lounge access spend management platform,220,4,7.63,7,15.09,3319.8,5610,22440,829.95,6.759443339960238,0.01818181818181818
with rewards startup credit card,150,2,2.15,2,15.54,2331.0,4551,9102,1165.5,3.9047619047619047,0.013333333333333334
high limit american express business card,287,4,9.53,7,43.77,12561.990000000002,3016,12064,3140.4975000000004,0.9603573956037219,0.013937282229965157
compare airline rewards card,147,20,6.32,3,22.84,3357.48,5619,112380,167.874,33.471532220594014,0.1360544217687075
instant approval travel rewards card,375,10,8.18,6,25.3,9487.5,2659,26590,948.75,2.802635046113307,0.02666666666666667
for startups company credit card,53,2,7.87,5,32.77,1736.8100000000002,1007,2014,868.4050000000001,1.1595971925541653,0.03773584905660377
with cashback expense management card,289,42,5.67,1,7.52,2173.2799999999997,5995,251790,51.7447619047619,115.85713759846868,0.1453287197231834
for small business travel rewards card,452,63,7.73,9,26.36,11914.72,5800,365400,189.12253968253967,30.667946875797334,0.13938053097345132
high limit cashback business card,455,7,3.14,4,5.72,2602.6,3949,27643,371.8,10.621301775147929,0.015384615384615385
for ecommerce cashback credit card,81,7,1.19,5,38.52,3120.1200000000003,1957,13699,445.73142857142864,4.390536261425842,0.08641975308641975
for small business cashback business card,465,45,4.08,3,6.03,2803.9500000000003,3343,150435,62.31000000000001,53.651099341999675,0.0967741935483871
with cashback business financing,122,2,2.37,7,36.73,4481.0599999999995,9738,19476,2240.5299999999997,4.346293064587397,0.01639344262295082
for startups airline rewards card,192,21,9.83,10,14.04,2695.68,2918,61278,128.3657142857143,22.73192663817664,0.109375
premium business cashback card,442,65,9.31,4,41.56,18369.52,3865,251225,282.608,13.67618751061541,0.14705882352941177
with cashback american express business card,240,16,2.3,4,19.24,4617.599999999999,4495,71920,288.59999999999997,15.575190575190577,0.06666666666666667
compare cashback business card,59,4,4.1,9,45.7,2696.3,8946,35784,674.075,13.271520231428253,0.06779661016949153
with cashback airline rewards card,412,42,5.58,3,38.24,15754.880000000001,3369,141498,375.1161904761905,8.981217248243084,0.10194174757281553
with cashback corporate expense card,243,27,4.59,5,14.45,3511.35,2041,55107,130.04999999999998,15.693963860053826,0.1111111111111111
for startups travel rewards card,475,57,7.3,3,44.81,21284.75,7725,440325,373.4166666666667,20.68734657442535,0.12
with rewards hotel rewards card,67,1,5.53,2,5.92,396.64,5129,5129,396.64,12.93112141992739,0.014925373134328358
with cashback cashback credit card,106,12,6.09,6,32.93,3490.58,1276,15312,290.88166666666666,4.386663534426943,0.11320754716981132
premium commercial credit card,185,24,7.1,8,42.86,7929.099999999999,7203,172872,330.37916666666666,21.802222194196062,0.12972972972972974
instant approval expense tracking software,238,3,1.21,5,10.83,2577.54,8641,25923,859.18,10.057263902791034,0.012605042016806723
instant approval business financing,358,5,1.11,2,7.04,2520.32,7783,38915,504.064,15.440499619095986,0.013966480446927373
best cashback business card,361,31,2.6,5,45.0,16245.0,4599,142569,524.0322580645161,8.776177285318559,0.08587257617728532
cheap employee expense card,81,6,7.46,10,18.34,1485.54,6838,41028,247.59,27.61823983198029,0.07407407407407407
high limit expense tracking software,361,53,3.16,6,34.94,12613.339999999998,6910,366230,237.98754716981128,29.035132645278733,0.14681440443213298
high limit cash rewards card,405,20,9.28,1,42.69,17289.45,3452,69040,864.4725000000001,3.9931865964504363,0.04938271604938271
best corporate credit card,95,8,1.71,3,9.96,946.2,3063,24504,118.275,25.89727330374128,0.08421052631578947
high limit cashback credit card,413,33,6.22,7,21.99,9081.869999999999,7154,236082,275.2081818181818,25.994866695955793,0.07990314769975787
with cashback airline rewards card,182,15,1.23,9,37.71,6863.22,1399,20985,457.548,3.0576026996074726,0.08241758241758242
best business travel credit card,35,3,9.75,8,8.45,295.75,2994,8982,98.58333333333333,30.37024513947591,0.08571428571428572
apply for travel rewards card,90,7,2.92,4,38.68,3481.2,5416,37912,497.3142857142857,10.890497529587499,0.07777777777777778
for startups amex corporate card,371,4,6.29,6,44.63,16557.73,8283,33132,4139.4325,2.0009989292010437,0.01078167115902965
instant approval company credit card,491,62,9.58,10,40.77,20018.070000000003,7019,435178,322.8720967741936,21.73925857987308,0.12627291242362526
2026 employee expense card,424,16,1.27,9,15.76,6682.24,4363,69808,417.64,10.446796283880854,0.03773584905660377
apply for cash rewards card,91,3,5.61,7,42.74,3889.34,2623,7869,1296.4466666666667,2.0232224490530526,0.03296703296703297
low fee startup credit card,68,6,5.74,10,36.05,2451.3999999999996,2165,12990,408.5666666666666,5.299012809007099,0.08823529411764706
2026 cash rewards card,140,10,4.16,2,38.62,5406.799999999999,1479,14790,540.68,2.7354442553821117,0.07142857142857142
for small business hotel rewards card,283,25,6.89,6,38.64,10935.12,3507,87675,437.4048,8.017744661238284,0.08833922261484099
for startups company credit card,349,27,5.88,8,25.25,8812.25,2118,57186,326.3796296296296,6.489375585122982,0.07736389684813753
compare working capital loan,381,26,3.24,1,45.55,17354.55,7366,191516,667.4826923076923,11.035492133186974,0.06824146981627296
cheap corporate credit card,414,32,7.35,1,10.58,4380.12,5131,164192,136.87875,37.48573098453924,0.07729468599033816
for travel corporate travel card,450,13,5.2,1,48.14,21663.0,8842,114946,1666.3846153846155,5.306097955038545,0.028888888888888888
top business travel credit card,492,71,5.23,4,5.3,2607.6,1975,140225,36.72676056338028,53.77550237766529,0.1443089430894309
high limit startup loan,255,23,9.57,2,39.57,10090.35,7656,176088,438.7108695652174,17.451129049041906,0.09019607843137255
high limit corporate expense card,51,2,5.82,7,13.38,682.38,5590,11180,341.19,16.383833054896098,0.0392156862745098
top travel rewards card,327,35,8.06,4,7.91,2586.57,8399,293965,73.902,113.6505101350437,0.10703363914373089
with rewards small business loan,244,32,8.81,7,27.47,6702.679999999999,2354,75328,209.45874999999998,11.238489678755364,0.13114754098360656
high limit cash rewards card,39,2,6.23,10,28.12,1096.68,5170,10340,548.34,9.42845679687785,0.05128205128205128
high limit startup loan,70,3,8.08,2,35.09,2456.3,4972,14916,818.7666666666668,6.072548141513658,0.04285714285714286
for startups amex corporate card,301,21,3.79,3,31.75,9556.75,1124,23604,455.0833333333333,2.469877311847647,0.06976744186046512
premium small business credit card,64,2,2.64,1,6.41,410.24,4147,8294,205.12,20.217433697347893,0.03125
with airport lounge access spend management platform,269,33,7.26,9,14.2,3819.7999999999997,9621,317493,115.75151515151515,83.11770249751297,0.12267657992565056
for ecommerce corporate travel card,280,25,9.34,6,37.22,10421.6,1204,30100,416.86400000000003,2.8882321332616874,0.08928571428571429
for startups airline rewards card,121,2,1.38,10,47.41,5736.61,5290,10580,2868.305,1.8442948012850797,0.01652892561983471
compare merchant cash advance,208,31,7.87,10,39.47,8209.76,8585,266135,264.83096774193547,32.4169037828146,0.14903846153846154
for employees startup credit card,105,9,1.26,7,49.35,5181.75,1275,11475,575.75,2.214502822405558,0.08571428571428572
compare corporate expense card,106,14,5.13,4,10.59,1122.54,2702,37828,80.18142857142857,33.698576442710284,0.1320754716981132
high limit employee expense card,322,25,7.09,4,48.13,15497.86,4635,115875,619.9144,7.476838737735403,0.07763975155279502
for employees business credit card,328,30,4.65,10,21.83,7160.24,4633,138990,238.67466666666667,19.411360513055428,0.09146341463414634
for freelancers amex corporate card,342,25,3.71,10,30.22,10335.24,1040,26000,413.4096,2.51566485151772,0.07309941520467836
for ecommerce small business credit card,329,22,2.68,8,48.94,16101.259999999998,7960,175120,731.8754545454544,10.876167455217791,0.0668693009118541
for freelancers small business loan,154,6,9.8,1,25.14,3871.56,1070,6420,645.26,1.6582462883178875,0.03896103896103896
2026 employee expense card,318,46,6.13,7,19.16,6092.88,1302,59892,132.45391304347825,9.829834167093393,0.14465408805031446
premium expense tracking software,177,6,2.15,4,40.58,7182.66,8992,53952,1197.11,7.511423344554803,0.03389830508474576
best corporate expense card,239,20,1.43,4,36.71,8773.69,1557,31140,438.6845,3.5492478079348597,0.08368200836820083
with rewards business cashback card,79,1,3.19,8,5.98,472.42,3088,3088,472.42,6.536556454002794,0.012658227848101266
for travel spend management platform,136,20,5.85,6,26.83,3648.8799999999997,5300,106000,182.444,29.05000986604109,0.14705882352941177
premium cashback business card,59,5,7.77,5,46.54,2745.86,4752,23760,549.172,8.653026738435317,0.0847457627118644
with rewards commercial credit card,333,41,9.83,9,29.62,9863.460000000001,4924,201884,240.57219512195124,20.46786827340507,0.12312312312312312
2026 small business loan,280,24,8.51,2,32.61,9130.8,6378,153072,380.45,16.76435799710869,0.08571428571428572
top cash rewards card,81,9,6.51,7,26.95,2182.95,1029,9261,242.54999999999998,4.242424242424243,0.1111111111111111
for travel business travel credit card,427,36,7.0,2,31.37,13394.99,5198,187128,372.0830555555556,13.969999231055791,0.08430913348946135
compare startup loan,255,18,5.7,5,18.31,4669.049999999999,2877,51786,259.39166666666665,11.091335496514281,0.07058823529411765
for ecommerce corporate travel card,252,18,4.91,3,14.15,3565.8,7659,137862,198.10000000000002,38.66229177183241,0.07142857142857142
for small business cashback business card,423,4,8.06,9,22.65,9580.949999999999,3503,14012,2395.2374999999997,1.4624854529039397,0.009456264775413711
instant approval business financing,480,29,2.6,6,15.45,7416.0,9594,278226,255.72413793103448,37.51699029126213,0.06041666666666667
with rewards company credit card,466,66,4.01,6,45.98,21426.68,3644,240504,324.64666666666665,11.22451075014888,0.14163090128755365
for small business spend management platform,417,43,9.81,3,11.69,4874.73,2037,87591,113.36581395348836,17.968379787188216,0.10311750599520383
with cashback startup loan,117,16,6.15,9,15.8,1848.6000000000001,5306,84896,115.53750000000001,45.92448339283782,0.13675213675213677
for employees cashback business card,17,0,5.49,7,40.52,688.84,5474,0,688.84,0.0,0.0
2026 company credit card,450,35,8.66,5,9.59,4315.5,7139,249865,123.3,57.899432278994325,0.07777777777777778
best small business credit card,379,5,7.86,10,40.86,15485.94,9583,47915,3097.188,3.094096967959323,0.013192612137203167
apply for company credit card,463,48,3.93,7,31.02,14362.26,8206,393888,299.21375,27.425210238500068,0.10367170626349892
with airport lounge access corporate expense card,290,34,6.63,10,25.72,7458.799999999999,3793,128962,219.37647058823526,17.289912586475037,0.11724137931034483
premium amex rewards card,214,24,2.67,2,44.18,9454.52,5948,142752,393.93833333333333,15.098809881411219,0.11214953271028037
best working capital loan,427,9,1.48,6,22.94,9795.380000000001,3286,29574,1088.3755555555556,3.0191784290144943,0.02107728337236534
for employees hotel rewards card,290,12,9.91,5,17.31,5019.9,6016,72192,418.325,14.381162971373932,0.041379310344827586
with rewards business financing,27,2,7.63,6,29.44,794.88,3542,7084,397.44,8.912037037037036,0.07407407407407407
with airport lounge access merchant cash advance,82,9,9.38,8,30.1,2468.2000000000003,8055,72495,274.24444444444447,29.371606838991976,0.10975609756097561
2026 startup loan,490,23,8.49,3,10.53,5159.7,2712,62376,224.33478260869563,12.089074946217805,0.04693877551020408
for small business american express business card,207,13,4.85,10,40.34,8350.380000000001,5680,73840,642.3369230769232,8.842711349663128,0.06280193236714976
for freelancers small business credit card,23,1,8.75,8,21.84,502.32,3021,3021,502.32,6.014094601051123,0.043478260869565216
for freelancers business credit card,399,4,8.08,9,10.67,4257.33,7447,29788,1064.3325,6.996873627367387,0.010025062656641603
top american express business card,475,43,3.32,5,9.47,4498.25,8740,375820,104.61046511627907,83.5480464625132,0.09052631578947369
for startups company credit card,112,11,6.61,5,30.43,3408.16,2397,26367,309.83272727272725,7.736432561851557,0.09821428571428571
for employees merchant cash advance,227,11,3.75,7,21.82,4953.14,6675,73425,450.28545454545457,14.823929870748655,0.048458149779735685
high limit cashback business card,301,31,3.11,4,19.28,5803.280000000001,3839,119009,187.2025806451613,20.50719593057719,0.10299003322259136
for small business expense management card,45,1,1.74,3,25.7,1156.5,8200,8200,1156.5,7.090358841331604,0.022222222222222223
with cashback travel rewards card,212,23,5.89,3,40.65,8617.8,6769,155687,374.6869565217391,18.065747638608464,0.10849056603773585
for small business american express business card,155,11,4.53,9,12.67,1963.85,5853,64383,178.53181818181818,32.784072103266546,0.07096774193548387
apply for cashback business card,24,3,1.79,10,10.34,248.16,3974,11922,82.72,48.041586073500966,0.125
with cashback airline rewards card,265,22,7.47,1,44.19,11710.349999999999,8427,185394,532.2886363636363,15.831636116768502,0.0830188679245283
low fee hotel rewards card,487,17,7.51,9,41.51,20215.37,7819,132923,1189.1394117647058,6.575343414441586,0.03490759753593429
premium business travel credit card,498,62,3.12,8,12.36,6155.28,1521,94302,99.27870967741936,15.320505322259914,0.12449799196787148
with rewards hotel rewards card,354,42,9.6,1,30.14,10669.56,1724,72408,254.03714285714284,6.78640918650816,0.11864406779661017
premium cashback business card,281,6,8.0,8,29.47,8281.07,3725,22350,1380.1783333333333,2.6989265879892335,0.021352313167259787
for freelancers cashback credit card,85,1,8.25,4,39.84,3386.4,4045,4045,3386.4,1.194483817623435,0.011764705882352941
cheap employee expense card,23,0,1.03,6,19.81,455.63,5269,0,455.63,0.0,0.0
low fee business cashback card,56,7,9.81,8,7.89,441.84,2842,19894,63.12,45.02534854245881,0.125
2026 cash rewards card,191,10,9.91,1,13.41,2561.31,7331,73310,256.131,28.622072298940775,0.05235602094240838
best small business credit card,67,5,5.56,4,14.54,974.18,1132,5660,194.83599999999998,5.810014576361659,0.07462686567164178
with airport lounge access business travel credit card,214,20,9.87,2,25.93,5549.0199999999995,8170,163400,277.45099999999996,29.446641028505937,0.09345794392523364
2026 business financing,240,27,6.51,1,27.66,6638.4,1881,50787,245.86666666666665,7.650488069414317,0.1125
for ecommerce airline rewards card,167,21,2.21,4,14.23,2376.41,6639,139419,113.16238095238094,58.66790663227305,0.12574850299401197
2026 expense tracking software,493,40,8.33,3,19.35,9539.550000000001,4179,167160,238.48875000000004,17.522839127631805,0.08113590263691683
with airport lounge access startup loan,311,21,6.02,9,40.29,12530.19,5044,105924,596.6757142857143,8.453503099314535,0.06752411575562701
with airport lounge access corporate travel card,25,0,4.08,1,6.95,173.75,3421,0,173.75,0.0,0.0
premium business credit card,138,13,3.13,6,38.45,5306.1,7405,96265,408.1615384615385,18.142326755997814,0.09420289855072464
compare american express business card,178,15,5.67,4,49.0,8722.0,2097,31455,581.4666666666667,3.6063976152258657,0.08426966292134831
for startups american express business card,230,11,7.23,4,39.27,9032.1,2332,25652,821.1,2.8400925587626356,0.04782608695652174
with cashback business credit card,386,27,8.89,3,46.93,18114.98,6957,187839,670.9251851851851,10.369263449366215,0.06994818652849741
compare cashback business card,292,33,6.39,2,16.85,4920.200000000001,1894,62502,149.09696969696972,12.703142148693141,0.11301369863013698
for travel cash rewards card,214,20,4.74,4,28.3,6056.2,6019,120380,302.81,19.877150688550575,0.09345794392523364
with airport lounge access startup credit card,71,5,6.69,7,23.66,1679.86,5148,25740,335.972,15.322705463550536,0.07042253521126761
for small business startup loan,474,22,5.47,7,17.29,8195.46,8740,192280,372.5209090909091,23.461770297213338,0.046413502109704644
for startups spend management platform,421,43,6.87,1,6.83,2875.43,2959,127237,66.87046511627906,44.249729605658985,0.1021377672209026
for freelancers business financing,413,40,6.48,10,39.17,16177.210000000001,7851,314040,404.43025,19.41249449070637,0.09685230024213075
for ecommerce american express business card,64,4,9.81,3,37.6,2406.4,4543,18172,601.6,7.551529255319148,0.0625
high limit company credit card,316,13,6.6,4,30.47,9628.52,4060,52780,740.6553846153846,5.481631652631973,0.04113924050632911
for small business business cashback card,126,4,7.22,3,48.83,6152.58,9922,39688,1538.145,6.4506272165498055,0.031746031746031744
with rewards small business loan,78,4,9.03,6,44.02,3433.5600000000004,1684,6736,858.3900000000001,1.9618122298722023,0.05128205128205128
top startup loan,353,48,9.22,7,30.32,10702.960000000001,5942,285216,222.97833333333335,26.64832906037208,0.1359773371104816
cheap employee expense card,210,24,2.27,4,46.43,9750.3,8162,195888,406.2625,20.09045875511523,0.11428571428571428
with airport lounge access merchant cash advance,106,14,5.08,7,30.18,3199.08,7678,107492,228.50571428571428,33.60091026170024,0.1320754716981132
apply for cash rewards card,427,54,9.48,6,42.69,18228.629999999997,1608,86832,337.5672222222222,4.763495665883833,0.12646370023419204
for travel startup credit card,247,18,9.64,1,27.56,6807.32,9468,170424,378.1844444444444,25.035403066111186,0.0728744939271255
top cashback credit card,420,35,2.71,1,41.29,17341.8,2165,75775,495.47999999999996,4.369500282554291,0.08333333333333333
high limit amex corporate card,110,3,4.99,4,25.11,2762.1,6900,20700,920.6999999999999,7.494297816878462,0.02727272727272727
with airport lounge access startup credit card,106,11,3.51,7,30.72,3256.3199999999997,9427,103697,296.0290909090909,31.844843258647803,0.10377358490566038
for freelancers amex rewards card,377,26,8.12,4,13.82,5210.14,8563,222638,200.39000000000001,42.73167323718748,0.06896551724137931
for employees commercial credit card,303,9,8.67,7,32.82,9944.460000000001,2813,25317,1104.94,2.5458395931000775,0.0297029702970297
for ecommerce company credit card,294,6,5.22,6,40.91,12027.539999999999,9622,57732,2004.59,4.799984036635921,0.02040816326530612
for employees american express business card,495,53,7.08,4,42.69,21131.55,4164,220692,398.7084905660377,10.443720408583374,0.10707070707070707
with airport lounge access commercial credit card,300,23,8.83,10,39.6,11880.0,4193,96439,516.5217391304348,8.117760942760944,0.07666666666666666
apply for employee expense card,285,3,7.39,8,5.5,1567.5,7342,22026,522.5,14.051674641148326,0.010526315789473684
low fee business cashback card,156,19,2.41,1,46.96,7325.76,3289,62491,385.5663157894737,8.530309483248153,0.12179487179487179
cheap airline rewards card,398,38,7.41,7,7.63,3036.74,6922,263036,79.91421052631578,86.61788628595139,0.09547738693467336
premium employee expense card,290,4,2.43,1,36.92,10706.800000000001,6212,24848,2676.7000000000003,2.3207681099861768,0.013793103448275862
2026 startup loan,102,5,6.88,6,41.99,4282.9800000000005,7223,36115,856.5960000000001,8.432213085281742,0.049019607843137254
high limit american express business card,291,32,4.0,7,39.52,11500.320000000002,1327,42464,359.38500000000005,3.6924189935584395,0.10996563573883161
apply for working capital loan,375,6,1.51,6,39.74,14902.5,3994,23964,2483.75,1.608052340211374,0.016
apply for commercial credit card,444,50,3.04,4,15.06,6686.64,6562,328100,133.7328,49.067992295083926,0.11261261261261261
with airport lounge access corporate credit card,203,16,5.22,8,8.91,1808.73,5040,80640,113.045625,44.583768721699755,0.07881773399014778
for freelancers expense tracking software,198,23,9.95,8,26.3,5207.400000000001,9211,211853,226.40869565217395,40.68306640549986,0.11616161616161616
with airport lounge access commercial credit card,408,52,3.3,2,33.43,13639.44,7777,404404,262.29692307692306,29.64960438258462,0.12745098039215685
premium amex rewards card,137,16,9.81,1,42.1,5767.7,4356,69696,360.48125,12.083846247204258,0.11678832116788321
compare startup loan,54,1,4.28,8,20.86,1126.44,1865,1865,1126.44,1.6556585348531656,0.018518518518518517
with cashback amex rewards card,271,20,9.64,7,42.08,11403.68,2371,47420,570.184,4.158306792193397,0.07380073800738007
for employees cashback credit card,195,10,9.6,10,27.57,5376.15,1801,18010,537.615,3.349980934311729,0.05128205128205128
best american express business card,394,31,2.29,2,40.38,15909.720000000001,1336,41416,513.2167741935484,2.6031884910608105,0.07868020304568528
compare amex corporate card,338,49,8.46,5,15.21,5140.9800000000005,4587,224763,104.91795918367347,43.719874420830266,0.14497041420118342
instant approval corporate expense card,52,1,5.66,5,39.43,2050.36,4123,4123,2050.36,2.0108663844398054,0.019230769230769232
premium cashback credit card,281,36,7.18,7,14.57,4094.17,7241,260676,113.72694444444444,63.67004789737602,0.12811387900355872
premium american express travel card,23,3,7.98,2,8.65,198.95000000000002,6917,20751,66.31666666666668,104.30258859009801,0.13043478260869565
with airport lounge access expense management card,83,12,2.12,9,40.37,3350.7099999999996,3782,45384,279.2258333333333,13.54459204168669,0.14457831325301204
cheap working capital loan,28,3,8.19,9,40.16,1124.48,8466,25398,374.82666666666665,22.586439954467842,0.10714285714285714
2026 company credit card,60,4,3.73,5,9.96,597.6,4423,17692,149.4,29.60508701472557,0.06666666666666667
premium travel rewards card,401,14,7.59,2,24.15,9684.15,8377,117278,691.725,12.110303950269255,0.034912718204488775
for small business small business credit card,313,29,6.16,7,6.4,2003.2,7989,231681,69.07586206896552,115.65545127795527,0.0926517571884984
best business travel credit card,149,14,7.16,4,37.49,5586.01,7258,101612,399.0007142857143,18.19044362613028,0.09395973154362416
cheap business financing,207,11,6.61,3,40.05,8290.349999999999,3044,33484,753.6681818181817,4.0389127117672965,0.05314009661835749
with cashback employee expense card,300,28,8.29,7,35.2,10560.0,8973,251244,377.14285714285717,23.792045454545455,0.09333333333333334
for employees merchant cash advance,207,5,9.05,7,28.7,5940.9,7032,35160,1188.1799999999998,5.918295207796799,0.024154589371980676
